Protein_Name
Erbb2
EGFR
p38a
BTK
Aldh3A1
Pde4B
Plk1
Fgfr1
JNK3
Ntrk3
Akr1C3
Alk
Pik3g
Glmu
Syk
Abaye3578
Arnt
Epas1
CK2
Braf
Src
Cdk2
Mylk4
Trpd
HIVrt
Hck
Ulk2
Nak
Tbk1
Pim1
Lck
PAK4
PAK7
Cdk6
JNK1
Hyp1
Betv1J
TTR
Betvia
S100A7
PR10a
Fabp4
SPE16
Dapk1
Fabp3
murA
pheromone
Ttbk1
Pde10A
Phet
MEK1
Pik3C3
Gckr
Pff0160C
Dhodh
TrkA
Ephb4
FAK2
Stk24
Ulk1
Wee1
Fgfr4
Jak3
Ldha
ERK2
mtrna
HGK
P38a
Pdf
Hipk2
Clk4
Clk3
Clk2
Clk1
Jak2
ALK5
Abl1
Aurkb
Tnni3K
FAK
Roco4
Brd4
Chk1
TNIK
CASP1
Aurka
Cdk1
Nek2
ERK5
DLK
Rsk2
Ptk6
Tnks2
Stk3
Esr1
Tead2
MEK2
Dot1L
Bace1
Pik33
Hras
SK2
Idh2
Ripk2
TAK1
Cdpk1
Uba1
Ephb3
Spin1
Pde4D
Melk
Hdac6
Ksr
Mlkl
Mark2
Igf1R
Pdgfra
Dyrk2
Vrk2
Vrk1
Tyk2
Pygm
Ephb1
Bcl6
Mr1
Csf1R
Entpd2
Lyn
KSHVp
Sirt2
Tc00
Cbp
Fto
Ephx2
Wee2
Pkmyt1
Pak4
Jtk2
Fes
Tnk2
Acvr1
Mer
Ahcy
P19429
Irak4
Plk3
Epha2
Fgfr2
JNK0
Nampt
Cyp1A1
Ntrk1
Top2B
Pygl
Dclre1A
Gyrb
Dyrk1A
D14
Dad2
UL23
Tele
Flt3
Ulk3
Sbcb
Nek1
Pmt
HNMT
Pvx
Akt1
Casp1
Kras
Bub1
Acrb
Ca2
Stk10
Erbb3
Camk2A
Alb
Pparg
Cyp28
Zadh2
Ptgs1
Cox2
Cyp2c5
Ltf
PLA2
Ret
Ttbk2
Met
Idh1
Tb927
Haspin
ABT751
Cfd
Prkaa2
Q920Q2
Coad
Mnk2
Kit
HPK1
Nek7
Akr1B10
AR
Dxr
OBP14
TEM-1bla
Ptpn1
Parp14
Pfkfb3
Erbb4
Nudt7
Brd9
Itk
Brdt
Akr1C2
Serpina7
CTSK
Epha7
Pak1
Tie2
Fabg
F11
Nudt5
JNK2
Akr1C1
Aoc3
VEGFR2
Dsba
PDK1
V89W
Ptgs2
H90W
Hpgds
Camk1D
MK2
DNA
Ckx1
Nmral1
p38b
RSK1
CSNK1G3
Pyk2
FBP1
CRK2
Srpk2
Wdr5
cruzain
Pyk
Camkk2
Cgd4
Ldbpk
Plk2
Nudt1
Ytjd
LLAMA
Brd2
Hsp90A
SYK
tkas
Nqo2
Abl2
DDR1
Dck
Cdk9
Ack1
Fabl
PLAU
L3Mbtl3
Rorc
ZipA
Ethr
Akr1B1
Ppara
Khk
Ikbkb
RamR
Gsk3B
