Protein_Name
Abl
ACVE1
ALDH1A1
AURKA
BTK
Chk1
CSNK1D
CYP51
DAD2
DYRK1A
EGFR T790M
ELA2
EphA3
FXa
GluA2
HMGCR
HPPD
InhA
KRAS
Lck
Met
mTOR
p38a
p66rt
PAH
PAK1
PBP2a
PCSK9
PDE10A
PDE3D
PDE7A
PDS1
PI3Kd
PI3Kg
PIK3d
RIPK3
THRB
Tyk2
VAP1
Vegfr
