Monomer_ID,Internal_ID,SMILES,pKi
11411,117,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CC=C)S(=O)(=O)c2s1 |t:7|,9.796
50080733,118,Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)S(N)(=O)=O,9.777
50084563,119,Cn1nc(s\c1=N\S(=O)(=O)c1ccc(N)cc1)S(N)(=O)=O,9.777
50475761,120,CCN(C1CC(C)S(=O)(=O)c2sc(cc12)S(N)(=O)=O)C(=O)CCCN,9.777
50107375,121,CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccccc1 |c:4|,9.77
50041037,122,CCC[C@@H]1C[C@H](NCC)c2cc(sc2S1(=O)=O)S(N)(=O)=O,9.77
50093584,124,COc1ccccc1C(C)NS(N)(=O)=O,9.714
50094456,125,NS(=O)(=O)c1nc2ccc(NS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2s1,9.699
11424,126,NS(=O)(=O)c1cc2C=C(CN3CCOCC3)N(CCCO)S(=O)(=O)c2s1 |t:7|,9.699
50475767,127,NCCCC(=O)NCCC(=O)Nc1nnc(s1)S(N)(=O)=O,9.699
11626,128,Nc1c(F)cc(cc1Br)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,9.699
14722,129,Cc1cc(cc(C)[n+]1-c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O)-c1ccccc1,9.699
50070606,130,[O-][Cl](=O)(=O)=O.NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(cc2)-[n+]2ccccc2)s1,9.699
50415855,131,NCCCC(=O)Nc1ccc2nc(sc2c1)S(N)(=O)=O,9.699
50025094,132,NS(=O)(=O)c1ccc(cc1)[N+]([O-])=O,9.699
50239275,133,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCc2cc(O)c(O)cc2C1c1ccc(F)cc1,9.678
14723,134,CCc1cc(cc(CC)[n+]1-c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O)-c1ccccc1,9.678
11426,135,CN1C(CN2CCOCC2)=Cc2sc(cc2S1(=O)=O)S(N)(=O)=O |c:10|,9.678
11400,136,CCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:11|,9.678
11401,137,CCN1C(CN(CCOC)CCOC)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,9.678
11415,138,COCCN(CCOC)CC1=Cc2cc(sc2S(=O)(=O)N1CCOC)S(N)(=O)=O |t:10|,9.678
11414,139,COCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:13|,9.658
50160668,140,CNc1ccc(cc1)S(N)(=O)=O,9.658
50523351,141,NS(=O)(=O)c1ccc(cc1)-n1ncc2ccccc2c1=O,9.638
50517085,142,NS(=O)(=O)c1nnc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)s1,9.62
11403,143,NS(=O)(=O)c1cc2C=CN(C\C=C\CN3CCOCC3)S(=O)(=O)c2s1 |c:7|,9.62
222049,144,"Cc1cccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)c1 |r,c:24|",9.611
222050,145,"Cc1ccccc1\C=C\C(=O)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O |r,c:26|",9.611
222051,146,"Clc1ccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)cc1 |r,c:23|",9.611
222052,147,"Clc1cccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)c1 |r,c:24|",9.611
222048,148,"Cc1ccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)cc1 |r,c:23|",9.611
222047,149,"COc1cccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)c1 |r,c:25|",9.611
222046,150,"COc1ccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)cc1 |r,c:24|",9.611
222053,151,"Clc1ccccc1\C=C\C(=O)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O |r,c:26|",9.611
222059,152,"O=C(\C=C\c1ccncc1)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O |r,c:25|",9.611
222058,153,"O=C(\C=C\c1cccs1)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O |r,c:24|",9.611
222054,154,"Brc1ccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)cc1 |r,c:23|",9.611
222055,155,"Brc1cccc(\C=C\C(=O)c2ccc(cc2)N2C(=O)[C@H]3[C@@H]4C[C@@H](C=C4)[C@H]3C2=O)c1 |r,c:24|",9.611
222056,156,"Brc1ccccc1\C=C\C(=O)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O |r,c:26|",9.611
222057,157,"O=C(\C=C\c1ccco1)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O |r,c:24|",9.611
11416,158,COCCCN1C(CN2CCOCC2)=Cc2cc(sc2S1(=O)=O)S(N)(=O)=O |c:14|,9.602
50475770,159,NCCCC(=O)OCCOc1ccc2nc(sc2c1)S(N)(=O)=O,9.602
50475764,160,Cn1nc(s\c1=N\S(=O)(=O)c1ccc(NC(=O)CCCN)cc1)S(N)(=O)=O,9.602
50147758,161,Cc1ccc2nc(S)n(-c3ccc(cc3)S(N)(=O)=O)c(=O)c2c1,9.602
11395,162,CC(=O)N1CCN(CCN2C=Cc3cc(sc3S2(=O)=O)S(N)(=O)=O)CC1 |c:10|,9.602
50523349,163,NS(=O)(=O)c1ccc(cc1)N1N=C(CCC1=O)c1ccccc1 |c:12|,9.585
14718,164,Cc1cc(C)[n+](c(C)c1)-c1ccc(cc1)S(=O)(=O)Nc1nnc(s1)S(N)(=O)=O,9.585
