Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
50068955,CCC(C(=O)NC(CC(O)=O)C(=O)CN1CCSCC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,11.0
50068957,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CNCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,3.1
50068958,CCC(C(=O)NC(CC(O)=O)C(=O)CN1CCN(C)CC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,63.0
50068959,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CN(C)[C@@H](Cc1ccccc1)C(N)=O)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,255.0
50068960,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CN[C@@H](Cc1ccccc1)C(N)=O)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,78.0
50068961,CCC(C(=O)NC(CC(O)=O)C(=O)Cn1ccc(=O)cc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,395.0
50068962,CCCCN(C)CC(=O)[C@H](CC(O)=O)NC(=O)C(CC)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,3.1
50068963,CCC(C(=O)NC(CC(O)=O)C(=O)CNC(C)=O)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,117.0
50068964,CCC(C(=O)NC(CC(O)=O)C(=O)CN1CCNCC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,410.0
50068965,CCC(C(=O)NC(CC(O)=O)C(=O)CN1CCCC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,7.3
50068966,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CN(C)CCc1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,4.8
50068967,CCC(C(=O)NC(CC(O)=O)C(=O)CN1CCCCC1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,4.0
50068968,CCC(C(=O)NC(CC(O)=O)C(=O)CNC(=O)c1ccccc1)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,58.0
50068969,CCC(C(=O)N[C@@H](CC(O)=O)C(=O)CN[C@H](Cc1ccccc1)C(N)=O)n1cccc(NC(=O)c2ccc3ccccc3c2)c1=O,Ki,nM,25.0
