Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
23700,COC(=O)c1ccnn1C(=O)c1ccc(Cl)cc1,IC50,nM,120
23701,[O-][N+](=O)c1cccc(c1)C(=O)n1cc(Cl)cn1,IC50,nM,170
23891,CCOC(=O)N1CCN(CC1)C(=O)[C@H](Cc1cccc(c1)C(N)=N)NS(=O)(=O)c1c(cc(cc1C(C)C)C(C)C)C(C)C |r|,IC50,nM,410
92479,Oc1cc(cc(O)c1O)C(=O)Oc1cc(cc(O)c1O)C(=O)OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,IC50,nM,6.6
92482,Oc1cc(cc(O)c1O)C(=O)OCCOC(=O)c1cc(O)c(O)c(O)c1,IC50,nM,44
92483,Oc1cc(cc(O)c1O)C(=O)O[C@@H]1CCCC[C@H]1OC(=O)c1cc(O)c(O)c(O)c1,IC50,nM,116
92484,Oc1cc(cc(O)c1O)C(=O)Oc1ccccc1OC(=O)c1cc(O)c(O)c(O)c1,IC50,nM,74
92485,"Oc1cc(cc(O)c1O)C(=O)OC[C@H]1OC(OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1 |r,w:15.16|",IC50,nM,10
92486,Oc1cc(cc(O)c1O)C(=O)OCC(COC(=O)c1cc(O)c(O)c(O)c1)OC(=O)c1cc(O)c(O)c(O)c1,IC50,nM,14
92487,Oc1cc(cc(O)c1O)C(=O)O[C@@H]1CCCC[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1,IC50,nM,20
264602,Oc1ccc(CCN(S(=O)(=O)c2ccccc2)S(=O)(=O)c2ccc(O)c(O)c2)cc1O,IC50,nM,173
264607,Oc1ccc(cc1O)S(=O)(=O)N(c1ccccc1)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,700
264609,Oc1ccc(cc1O)S(=O)(=O)N(c1cccc(c1)C(F)(F)F)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,288
264610,Oc1ccc(cc1O)S(=O)(=O)N(c1ccc(cc1)-c1ccccc1)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,350
264611,CCCCCCc1ccc(cc1)N(S(=O)(=O)c1ccc(O)c(O)c1)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,120
264612,CCCCCCCCCCCCc1ccc(cc1)N(S(=O)(=O)c1ccc(O)c(O)c1)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,920
264613,CCCCCCCCCCN(S(=O)(=O)c1ccc(O)c(O)c1)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,250
264615,CCCCCCCN(S(=O)(=O)c1ccc(O)c(O)c1)S(=O)(=O)c1ccc(O)c(O)c1,IC50,nM,33.0
