Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,1.1
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,49
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,57
4810,Cc1cc(C)c(\C=C2/C(=O)Nc3ccccc23)[nH]1,IC50,nM,84
4814,CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C,IC50,nM,12
9503,FC(F)(F)c1cccc(NC(=O)c2ccccc2NCc2ccncc2)c1,IC50,nM,380
13216,Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1,IC50,nM,0.570000
13530,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,IC50,nM,291
16673,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,IC50,nM,58
17697,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1 |r|,IC50,nM,80
17750,CC1CCN(CC1)c1ccc(CO)cc1NC(=O)c1ccc(o1)C#N,IC50,nM,24
17751,Cc1cc(on1)-c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,IC50,nM,140
21079,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1,IC50,nM,3.0
21103,COc1ccc(-c2ccc(NC(=O)Nc3cc(C)ccc3F)cc2)c2c(N)noc12,IC50,nM,27
21104,COc1ccc(-c2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)c2c(N)noc12,IC50,nM,30
