Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
100423,"CC(=O)N1CCC(CC1)NC(=O)NC12CC3CC(CC(C3)C1)C2 |TLB:22:13:20:16.17.18,THB:22:17:20:13.21.14,21:13:16:20.19.18,21:19:16:13.22.14,12:13:20:16.17.18|",Ki,nM,19.5
158481,"OC(=O)c1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1 |r,wU:8.7,wD:11.14,(10,,;8.67,-.77,;8.67,-2.31,;7.34,,;6,-.77,;4.67,,;4.67,1.54,;3.33,2.31,;2,1.54,;2,,;.67,-.77,;-.67,,;-.67,1.54,;.67,2.31,;-2,-.77,;-3.33,,;-3.33,1.54,;-4.67,-.77,;-6,,;-6,1.54,;-7.34,2.31,;-8.67,1.54,;-10,2.31,;-10,3.85,;-10,5.39,;-8.67,4.62,;-11.34,4.62,;-8.67,,;-7.34,-.77,;6,2.31,;7.34,1.54,)|",Ki,nM,156
408978,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CCOCC2)cc1,Ki,nM,1.4
408981,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)c2cc[nH]c2)cc1,Ki,nM,0.640000
408982,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)c2ccoc2)cc1,Ki,nM,0.330000
408983,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)[C@@H]2CCOC2)cc1 |r|,Ki,nM,1.4
408984,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)C2=COCC2)cc1 |t:22|,Ki,nM,0.770000
408985,Cc1occc1C(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)cc1,Ki,nM,0.550000
408986,Cc1ccoc1C(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)cc1,Ki,nM,0.260000
408987,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CCCOC2)cc1,Ki,nM,2.0
408988,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CCOCC2)cc1,Ki,nM,1.7
408989,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)c2ccoc2)cc1,Ki,nM,1.2
408990,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)[C@@H]2CCOC2)cc1 |r|,Ki,nM,1.2
408991,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2=COCC2)cc1 |t:21|,Ki,nM,1.0
408992,Cc1occc1C(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F,Ki,nM,0.220
408994,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CCCOC2)cc1,Ki,nM,2.4
408995,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)c2cc[nH]c2)cc1,Ki,nM,0.500000
408996,FC(F)(F)Oc1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CCOC2)cc1,Ki,nM,1.7
408997,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2CCOC2)cc1,Ki,nM,1.7
408998,CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)c(F)c1,Ki,nM,0.310000
408999,CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(c(F)c1)C(F)(F)F,Ki,nM,0.490000
409000,CC(C)C(=O)N1CCC(CC(=O)Nc2ccc(OC(F)(F)F)c(F)c2)CC1,Ki,nM,4.7
409001,OC(=O)CC1(CC(=O)N2CCC(CC2)NC(=O)Nc2ccc(cc2)C(F)(F)F)CCCCC1,Ki,nM,10.2
409002,CCC(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)c(F)c1,Ki,nM,0.870000
409003,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)C2CC2)ccc1OC(F)(F)F,Ki,nM,0.150000
409004,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)[C@@H]2CCOC2)ccc1OC(F)(F)F |r|,Ki,nM,0.700000
409005,CC[C@H](C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(OC(F)(F)F)c(F)c1 |r|,Ki,nM,<0.050000
409006,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)C2CCCOC2)ccc1OC(F)(F)F,Ki,nM,0.780000
409007,FC(F)(F)c1ccc(NC(=O)NC2CCN(CC2)C(=O)C2(CC2)C(F)(F)F)cc1,Ki,nM,0.050
409008,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)C2CCOCC2)ccc1OC(F)(F)F,Ki,nM,0.750000
409009,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)C2(CC2)C(F)(F)F)ccc1OC(F)(F)F,Ki,nM,<0.050000
409011,CCC(=O)N1CCC(CC1)NC(=O)Nc1ccc(c(F)c1)C(F)(F)F,Ki,nM,2.9
409012,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)C2CC2)ccc1C(F)(F)F,Ki,nM,0.380000
409013,Fc1cc(NC(=O)NC2CCN(CC2)C(=O)C2CCOC2)ccc1C(F)(F)F,Ki,nM,2.09
409014,CC[C@H](C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(c(F)c1)C(F)(F)F |r|,Ki,nM,0.370000
