Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
47108,COC(=O)Nc1ccc2-c3c[nH]c(n3)[C@H](CCCCC(=O)Nc2c1)NC(=O)\C=C\c1cc(Cl)ccc1-n1cnnn1 |r|,Ki,nM,1.000000
47177,CC(=O)N1CCC(CCC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)CC1 |r|,Ki,nM,870
47178,NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCc2ccncc2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,Ki,nM,500
60501,CC(C)(C)OC(=O)N1CCN(CC1)C(=O)c1cccc2C(N(CCc12)C(=O)\C=C\c1c(F)c(Cl)ccc1-n1cnnn1)C(=O)Nc1ccc(cc1)C(=O)OC(C)(C)C,Ki,nM,169.6
108095,NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc2ccccc2)NS(=O)(=O)Cc2cccc(c2)C(O)=O)cc1 |r|,Ki,nM,70
108097,NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCC2CCNCC2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,Ki,nM,800
108098,NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCC2CCN(CC2)C(=O)C2CC2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,Ki,nM,650
108099,CCC(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)CC1 |r|,Ki,nM,720
108106,CCCC(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)CC1 |r|,Ki,nM,870
108107,COC(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)CC1 |r|,Ki,nM,720
108109,CC(C)C(=O)N1CCC(CC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)CC1 |r|,Ki,nM,920
108110,NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc2ccccc2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,Ki,nM,>130
108115,COC(=O)N1CCC(CCC[C@@H](NS(=O)(=O)Cc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)CC1 |r|,Ki,nM,600
108116,COC(=O)c1cccc(CS(=O)(=O)N[C@H](CCCc2ccccc2)C(=O)N[C@@H](CCC2CCNCC2)C(=O)NCc2ccc(cc2)C(N)=N)c1 |r|,Ki,nM,500
108117,NC(=N)c1ccc(CNC(=O)[C@H](CCC2CCNCC2)NC(=O)[C@@H](CCCc2ccncc2)NS(=O)(=O)Cc2ccccc2)cc1 |r|,Ki,nM,500
131020,COC(=O)Nc1ccc2-c3nc([nH]c3Cl)[C@H](Cc3cccc(CCCCc2c1)c3)NC(=O)\C=C\c1cc(Cl)ccc1-n1cnnn1 |r|,Ki,nM,8.2
