Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,741.0
50100316,"Cc1ccc(O)cc1-n1c(N)c(C(N)=O)c2nc3ccccc3nc12 |(9.45,-34.75,;10.95,-35.07,;11.43,-36.54,;12.94,-36.86,;13.97,-35.71,;15.47,-36.03,;13.49,-34.25,;11.98,-33.93,;11.51,-32.46,;12.41,-31.22,;13.95,-31.22,;11.51,-29.97,;11.98,-28.51,;13.47,-28.11,;10.95,-27.36,;10.04,-30.45,;8.71,-29.68,;7.38,-30.45,;6.04,-29.68,;4.71,-30.45,;4.71,-31.99,;6.04,-32.76,;7.38,-31.99,;8.71,-32.76,;10.04,-31.99,)|",IC50,nM,7.0
50299218,"COc1ccccc1-n1c(cn2c1nc1n(C)c(=O)[nH]c(=O)c21)-c1cc(O)ccc1C |(16.89,-42.99,;16.89,-41.45,;18.23,-40.68,;19.55,-41.45,;20.88,-40.68,;20.88,-39.14,;19.55,-38.38,;18.23,-39.15,;16.9,-38.38,;16.91,-36.84,;15.44,-36.35,;14.53,-37.6,;15.43,-38.85,;14.53,-40.09,;13.06,-39.61,;11.74,-40.37,;11.73,-41.91,;10.41,-39.61,;9.07,-40.38,;10.41,-38.07,;11.74,-37.29,;11.74,-35.75,;13.06,-38.07,;18.24,-36.06,;19.58,-36.83,;20.9,-36.05,;22.24,-36.81,;20.9,-34.51,;19.55,-33.75,;18.23,-34.53,;16.89,-33.77,)|",IC50,nM,15.0
50311296,Cc1ccn2ncc(C(=O)Nc3ccccc3Cl)c2c1,IC50,nM,260.0
50311301,COc1ccn2ncc(C(=O)Nc3ccccc3Cl)c2c1,IC50,nM,190.0
50311302,Clc1ccccc1NC(=O)c1cnn2ccc(cc12)-c1ccccc1,IC50,nM,66.0
50311303,CN(C)c1ccn2ncc(C(=O)Nc3ccccc3Cl)c2c1,IC50,nM,77.0
50311304,Clc1ccccc1NC(=O)c1cnn2ccc(cc12)-n1cccc1,IC50,nM,200.0
50311305,Clc1ccccc1NC(=O)c1cnn2ccc(cc12)N1CCOCC1,IC50,nM,240.0
50311306,Clc1ccccc1NC(=O)c1cnn2ccc(cc12)N1CCCCC1,IC50,nM,63.0
50311311,Clc1ccccc1NC(=O)c1cnc2ccccn12,IC50,nM,460.0
50311312,Clc1ccccc1NC(=O)c1cnc2ccc(cn12)-c1ccccc1,IC50,nM,60.0
50311313,Clc1ccccc1NC(=O)c1cnc2ccc(cn12)N1CCCCC1,IC50,nM,87.0
50311316,Clc1ccccc1NC(=O)c1cnc2ccc(cn12)C1CCNCC1,IC50,nM,79.0
50311317,OC1(CCNCC1)c1ccc2ncc(C(=O)Nc3ccccc3Cl)n2c1,IC50,nM,228.0
50311318,Cc1nc2ccc(Br)cn2c1C(=O)Nc1ccccc1Cl,IC50,nM,173.0
50357333,CN(C)C\C=C\C(=O)N(C)c1cc2c(cc1F)nc(Nc1ccccc1C)c1cncn21,IC50,nM,350.0
50538438,Cc1ccc(cc1C#Cc1cnc2cccnn12)C(=O)Nc1ccc(CN2CCC3C=NNC3C2)c(Cl)c1 |c:33|,IC50,nM,51.0
50538442,Cc1ccc(cc1C#Cc1cnc2cccnn12)C(=O)Nc1ccc(CN2Cc3cn[nH]c3C2)c(Cl)c1,IC50,nM,20.0
50598810,"Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nc3ccccc3nc12 |(2.67,-2.98,;2.96,-1.78,;4.44,-1.35,;4.8,.14,;3.69,1.21,;3.98,2.41,;2.21,.78,;1.32,1.63,;1.85,-.72,;.34,-1.04,;-.28,-2.45,;.33,-3.52,;-1.81,-2.29,;-2.84,-3.43,;-4.05,-3.18,;-2.46,-4.61,;-2.13,-.78,;-3.47,-.01,;-3.47,1.53,;-4.8,2.3,;-4.8,3.84,;-3.47,4.61,;-2.13,3.84,;-2.13,2.3,;-.8,1.53,;-.8,-.01,)|",IC50,nM,18.0
50598820,"Cc1ccc(O)c(Cl)c1-n1c(N)c(C(N)=O)c2nc3ccccc3nc12 |(2.67,-2.98,;2.96,-1.78,;4.44,-1.35,;4.8,.14,;3.69,1.21,;3.98,2.41,;2.21,.78,;1.32,1.63,;1.85,-.72,;.34,-1.04,;-.28,-2.45,;.33,-3.52,;-1.81,-2.29,;-2.84,-3.43,;-4.05,-3.18,;-2.46,-4.61,;-2.13,-.78,;-3.47,-.01,;-3.47,1.53,;-4.8,2.3,;-4.8,3.84,;-3.47,4.61,;-2.13,3.84,;-2.13,2.3,;-.8,1.53,;-.8,-.01,)|",IC50,nM,7.0
50598829,"Cc1ccc(O)cc1-n1c(N)c(C(N)=O)c2cc3ccccc3nc12 |(2.67,-2.98,;2.96,-1.78,;4.44,-1.35,;4.8,.14,;3.69,1.21,;3.98,2.41,;2.21,.78,;1.85,-.72,;.34,-1.04,;-.28,-2.45,;.33,-3.52,;-1.81,-2.29,;-2.84,-3.43,;-4.05,-3.18,;-2.46,-4.61,;-2.13,-.78,;-3.47,-.01,;-3.47,1.53,;-4.8,2.3,;-4.8,3.84,;-3.47,4.61,;-2.13,3.84,;-2.13,2.3,;-.8,1.53,;-.8,-.01,)|",IC50,nM,7.0
