Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,4.5
5446,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC,IC50,nM,60
13533,Cc1ccc(cc1)-n1nc(cc1NC(=O)Nc1ccc(OCCN2CCOCC2)c2ccccc12)C(C)(C)C,IC50,nM,83.4
14971,Cc1ccc(cc1Nc1ncccc1-c1ccncn1)C(=O)Nc1cccc(c1)C(F)(F)F,IC50,nM,0.46
16673,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,IC50,nM,11
16673,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,IC50,nM,22
16673,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,IC50,nM,38
16673,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1,IC50,nM,4.4
17678,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Cl)c(c4)C(F)(F)F)[nH]c3c2)ccn1,IC50,nM,280
25391,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2C(CCc2c1)N=O)-c1ccncc1,IC50,nM,290
25612,COc1cc(Nc2cncc(Oc3cccc4c(NC(C)=O)cccc34)n2)cc(OC)c1OC,IC50,nM,410
25613,COc1cc(Nc2cncc(Oc3ccc(NC(C)=O)c4ccccc34)n2)cc(OC)c1OC,IC50,nM,560
25614,CC(=O)Nc1cccc2c(Oc3cncc(Nc4cccc(c4)-c4cnco4)n3)cccc12,IC50,nM,650
25616,CC(=O)Nc1ccc(Oc2cncc(Nc3cccc(c3)-c3cnco3)n2)c2ccccc12,IC50,nM,310
25617,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,IC50,nM,13
25618,O=NC1CCc2cc(ccc12)-c1c[nH]nc1-c1ccncc1,IC50,nM,0.15
25619,Cn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.02
25620,Cn1ncc(c1-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.48
25621,CCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.57
25622,O=NC1CCc2cc(ccc12)-c1cn(nc1-c1ccncc1)C1CCCC1,IC50,nM,3.46
25623,O[C@H]1CCC[C@H]1n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O |r|,IC50,nM,3.91
25624,O[C@@H]1CCC[C@H]1n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O |r|,IC50,nM,0.33
25625,O[C@H]1CCC[C@H](C1)n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O |r|,IC50,nM,0.04
25626,O[C@@H]1CCC[C@H](C1)n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O |r|,IC50,nM,0.09
25627,COCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,1.16
25628,OCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.13
25629,OCCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.05
25630,OCC(O)Cn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.87
25631,OCC(CO)n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.56
25632,NCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,2.4
25633,CN(C)CCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,4.02
25634,NCCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.39
25635,CN(C)CCCn1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.47
25636,O=NC1CCc2cc(ccc12)-c1cn(nc1-c1ccncc1)C1CCNCC1,IC50,nM,0.03
25637,CN1CCC(CC1)n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.34
25638,O=NC1CCc2cc(ccc12)-c1cn(nc1-c1ccncc1)C1CCOCC1,IC50,nM,0.22
25639,O=NC1CCc2cc(ccc12)-c1cn(CC2CCNCC2)nc1-c1ccncc1,IC50,nM,1.2
25640,O=NC1CCc2cc(ccc12)-c1cn(CC2CCCNC2)nc1-c1ccncc1,IC50,nM,0.85
25641,CNC1CCCC(C1)n1cc(c(n1)-c1ccncc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,0.23
25642,Cn1cc(c(n1)-c1ccc2n(C)ncc2c1)-c1ccc2C(CCc2c1)N=O,IC50,nM,969.6
25643,Cn1cc(c(n1)-c1cccnc1)-c1ccc2C(CCc2c1)N=O,IC50,nM,433.8
25644,Cn1cc(c(n1)-c1cnco1)-c1ccc2C(CCc2c1)N=O,IC50,nM,4.1
25645,Cn1cc(c(n1)-c1ccnc(N)c1)-c1ccc2C(CCc2c1)N=O,IC50,nM,2.1
25646,Cn1cc(c(n1)-c1ccncc1O)-c1ccc2C(CCc2c1)N=O,IC50,nM,2.9
25647,Cn1cc(c(n1)-c1ccncn1)-c1ccc2C(CCc2c1)N=O,IC50,nM,3.1
25648,Cn1cc(c(n1)-c1ccncc1)-c1ccc(cc1)C(=N)NO,IC50,nM,18.4
25649,Cn1cc(c(n1)-c1ccncc1)-c1ccc2C(NO)=NCc2c1 |c:20|,IC50,nM,<2
25650,Cn1cc(c(n1)-c1ccncc1)-c1ccc2C(NO)=NCCc2c1 |c:20|,IC50,nM,16.0
25651,Cn1cc(c(n1)-c1ccncc1)-c1ccc(cc1)-c1cc[nH]n1,IC50,nM,68
25652,Cc1c[nH]nc1-c1ccc(cc1)-c1cn(C)nc1-c1ccncc1,IC50,nM,4.4
25653,Cn1cc(c(n1)-c1ccncc1)-c1ccc-2c(Cc3c[nH]nc-23)c1,IC50,nM,1.5
25654,Cn1cc(c(n1)-c1ccncc1)-c1ccc2C(=O)NCc2c1,IC50,nM,68.4
25655,Cn1cc(c(n1)-c1ccncc1)-c1ccc2cn[nH]c2c1,IC50,nM,70.0
26009,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Br)cc4)n(C)c3c2)ccn1,IC50,nM,500
26013,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Br)cc4)[nH]c3c2)ccn1,IC50,nM,39
26015,CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(c4)C(F)(F)F)[nH]c3c2)ccn1,IC50,nM,300
26016,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(cc4)C(F)(F)F)[nH]c3c2)ccn1,IC50,nM,11
26017,CNC(=O)c1cc(Oc2ccc3nc(Nc4cccc(c4)C(C)(C)C)[nH]c3c2)ccn1,IC50,nM,26
26018,CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(cc4)C(C)(C)C)[nH]c3c2)ccn1,IC50,nM,63
26019,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccccc4)nc3c2)ccn1,IC50,nM,130
26020,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccc(Cl)c(c4)C(F)(F)F)nc3c2)ccn1,IC50,nM,28
26021,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccccc4Br)nc3c2)ccn1,IC50,nM,39
26022,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4cccc(Br)c4)nc3c2)ccn1,IC50,nM,25
26023,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccc(Br)cc4)nc3c2)ccn1,IC50,nM,2
26025,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4cccc(c4)C(F)(F)F)nc3c2)ccn1,IC50,nM,8
26026,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccc(cc4)C(F)(F)F)nc3c2)ccn1,IC50,nM,88
26028,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4cccc(c4)C(C)(C)C)nc3c2)ccn1,IC50,nM,45
26029,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccc(cc4)C(C)(C)C)nc3c2)ccn1,IC50,nM,140
26031,CNC(=O)c1cc(Oc2ccc3n(C)c(NCC4CCCCC4)nc3c2)ccn1,IC50,nM,140
26032,CNC(=O)c1cc(Oc2ccc3n(C)c(Nc4cccc(c4)-c4ccncc4)nc3c2)ccn1,IC50,nM,14
26033,CCn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(c3)C(=O)NC)ccc12,IC50,nM,68
26035,CCNC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccc(Br)cc4)nc3c2)ccn1,IC50,nM,13
26036,Cn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(c3)C(=O)NCCN3CCOCC3)ccc12,IC50,nM,31
26037,Cn1c(Nc2ccc(Br)cc2)nc2cc(Oc3ccnc(c3)C(=O)NCCO)ccc12,IC50,nM,11
26038,CCCC1CCCCN1NC(=O)c1cc(Oc2ccc3n(C)c(Nc4ccc(Br)cc4)nc3c2)ccn1,IC50,nM,7
26040,NCc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(Cl)c(O)c1)-c1ccncc1,IC50,nM,8
26041,Oc1cc(ccc1Cl)-c1[nH]c(nc1-c1ccncc1)-c1ccccc1,IC50,nM,10
29701,FC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)ccc1Cl,IC50,nM,23
29704,FC(F)(F)c1cc(Cl)cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)c1,IC50,nM,100
29705,FC(F)(F)c1cccc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)c1,IC50,nM,14
