Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
23698,Fc1ccc(cc1)C(=O)n1cc(Cl)cn1,Ki,nM,6
23700,COC(=O)c1ccnn1C(=O)c1ccc(Cl)cc1,Ki,nM,15
23701,[O-][N+](=O)c1cccc(c1)C(=O)n1cc(Cl)cn1,Ki,nM,24
23702,Cc1ccc(C(=O)c2ccn(n2)C(=O)c2ccc(F)cc2)c(C)c1,Ki,nM,24
23703,[O-][N+](=O)c1cnn(c1)C(=O)c1ccccc1,Ki,nM,34
23704,O=C(Nc1ccccc1)c1ccn(n1)C(=O)c1ccccc1,Ki,nM,39
23705,Cc1ccc(cc1)C(=O)n1cc(Br)cn1,Ki,nM,45
23706,Clc1ccc(cc1Cl)C(=O)n1cccn1,Ki,nM,104
23707,Cc1cc(nn1C(=O)c1ccccc1F)[N+]([O-])=O,Ki,nM,107
23709,COc1cc(cc(OC)c1OC)C(=O)n1ccc(C)n1,Ki,nM,21
23710,Cc1ccc(cc1)C(=O)n1ccc(n1)[N+]([O-])=O,Ki,nM,28
23711,[O-][N+](=O)c1ccn(n1)C(=O)c1ccccc1,Ki,nM,46
23712,Cc1ccccc1C(=O)n1cc(cn1)[N+]([O-])=O,Ki,nM,65
23713,Cc1ccccc1C(=O)n1cc(Cl)cn1,Ki,nM,230
23714,Cc1cccc(c1)C(=O)n1cc(Br)cn1,Ki,nM,250
23715,Cc1ccccc1C(=O)n1cc(Br)cn1,Ki,nM,300
23716,CC(=O)Nc1ccc(cc1)C(=O)n1ccc(C)n1,Ki,nM,300
23726,COc1ccc(cc1)C(=O)OC(C)(C)C#C,Ki,nM,110
23727,COc1ccc(cc1OC)C(=O)N(CC#N)CC#N,Ki,nM,290
23728,COc1ccccc1OCC(=O)NNC(=O)c1cccs1,Ki,nM,820
234270,CCC1(CC)C(=O)N(C1=O)c1ccc(CS(=O)(=O)c2ccccc2)cc1,Ki,nM,0.63
521742,CC(C)C[C@@H]1N2[C@H](O)CC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)C(C)NC(=O)OCc3ccccc3)[C@@H](C)OC(=O)[C@@H](NC(=O)[C@H](Cc3ccccc3)N(C)C1=O)C(C)C)C(C)C)C2=O |r|,Ki,nM,19.0
