Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
9019,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,Ki,nM,28
13530,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,Ki,nM,39
23926,Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1,Ki,nM,88
29611,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,Ki,nM,6.5
50066960,COc1ccc2n(C)cc(CCNC(C)=O)c2c1,Ki,nM,2.8
50112200,COc1ccc2n(C)c(I)c(CCNC(C)=O)c2c1,Ki,nM,0.088000
50112201,COc1ccc2n(C)cc(CCNC(C)=O)c2c1[N+]([O-])=O,Ki,nM,0.310000
50112202,COc1cc2c(CCNC(C)=O)c(I)n(C)c2cc1[N+]([O-])=O,Ki,nM,6.1
50112203,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1[N+]([O-])=O,Ki,nM,0.180000
50112204,COc1cc2c(CCNC(C)=O)c(I)[nH]c2cc1[N+]([O-])=O,Ki,nM,70
50112206,COc1ccc2[nH]cc(CCNC(C)=O)c2c1[N+]([O-])=O,Ki,nM,1.1
50112208,COc1ccc2n(C)c(I)c(CCNC(C)=O)c2c1[N+]([O-])=O,Ki,nM,0.130000
50118431,CCC(=O)NCC[C@H]1CCc2ccc(OC)cc12,Ki,nM,561
50118432,COc1ccc2CC[C@H](CCNC(=O)C(F)(F)F)c2c1,Ki,nM,374
50118437,CCC(=O)NC\C=C1\CCc2ccc(OC)cc12,Ki,nM,467
50118440,COc1ccc2CC=C(CCNC(=O)C(F)(F)F)c2c1 |t:7|,Ki,nM,9.1
50118441,COc1ccc2CCC(CCNC(C)=O)c2c1,Ki,nM,316
50118443,COc1ccc2CCC(CNC(=O)C(F)(F)F)c2c1,Ki,nM,428
50118444,COc1ccc2CCC(CCCNC(=O)C(F)(F)F)c2c1,Ki,nM,353
50118446,COc1ccc2CCC(CCNC(=O)C(F)(F)F)c2c1,Ki,nM,497
50118447,CCOc1ccc2CCC(CCNC(=O)CC)c2c1,Ki,nM,760
50118449,CCCC(=O)NCC[C@H]1CCc2ccc(OC)cc12,Ki,nM,785
50118450,CCCC(=O)NCCC1CCc2ccc(OC)cc12,Ki,nM,946
50118452,CCCOc1ccc2CCC(CCNC(=O)CC)c2c1,Ki,nM,812
50118455,COc1ccc2CC[C@H](CCNC(C)=O)c2c1,Ki,nM,372
50118456,CCC(=O)NCCC1=CCc2ccc(OC)cc12 |t:7|,Ki,nM,49
50118457,COc1cc2CCC(CCNC(C)=O)c2cc1OC,Ki,nM,782
50118458,CCC(=O)NCCC1CCc2ccc(OC)cc12,Ki,nM,686
50118459,CCCCC(=O)NCCC1CCc2ccc(OC)cc12,Ki,nM,837
50118462,COc1ccc2CC(=C(CCNC(=O)C(F)(F)F)c2c1)c1ccccc1 |t:7|,Ki,nM,48
50118463,COc1ccc2CCCC(CCNC(=O)C(F)(F)F)c2c1,Ki,nM,608
50403047,CCOC(=O)CCN(C(=O)c1ccc2n(C)c(CNc3ccc(cc3)C(N)=N)nc2c1)c1ccccn1,Ki,nM,900
