Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
50538248,[H][C@]12CSCCC(=O)N3CN(CN(C3)C(=O)CCSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C)NC1=O)C(C)C)C(=O)N[C@@H](C)C(N)=O)C(=O)CCSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(O)=O)C(=O)N2 |r|,Ki,nM,210
50538249,[H][C@]12CSCc3cc(CSC[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@@H](NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC1=O)C(C)C)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N2)c3 |r|,Ki,nM,268
50538250,[H][C@]12CSCc3cc(CSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CCSC)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](Cc4ccccc4)NC1=O)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N2)c3 |r|,Ki,nM,931
50538251,[H][C@@]12CCCN1C(=O)N[C@@H](CCC(O)=O)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@]1([H])CSCc3cc(CSC[C@H](NC2=O)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](C(C)C)C(=O)N2CCC[C@@]2([H])C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@@]([H])([C@@H](C)CC)C(=O)N[C@@H](Cc2c[nH]c4ccccc24)C(=O)N1)c3 |r|,Ki,nM,83
50538252,[H][C@@]12CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@]1([H])CCCN1C(=O)[C@]1([H])CSCc3cc(CSC[C@H](NC(=O)CNC2=O)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)C2CCCN2C(=O)[C@@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](C)N)C(C)C)C(=O)N2CCC[C@@]2([H])C(=O)N[C@@H](Cc2c[nH]c4ccccc24)C(=O)NCC(=O)N2CCC[C@@]2([H])C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2c[nH]c4ccccc24)C(=O)N1)c3)C(C)C |r|,Ki,nM,0.540000
50538253,[H][C@@]12CCCN1C(=O)CNC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)[C@]1([H])CCCN1C(=O)[C@H](CSCc1cc3CSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](Cc4cnc[nH]4)NC(=O)[C@@H](NC(=O)[C@]4([H])CCCN4C(=O)[C@]([H])(CSCc(c3)c1)NC(=O)[C@H](Cc1c[nH]c3ccccc13)NC(=O)[C@H](C)NC2=O)C(C)C)[C@H](C)O)C(=O)N[C@@H](C)C(N)=O)NC(=O)[C@H](C)N |r|,Ki,nM,263
50538254,[H][C@@]12CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1([H])CCCN1C(=O)[C@]1([H])CSCc3cc(CSC[C@H](NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@H](Cc4ccc(O)cc4)NC2=O)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N2CCC[C@@]2([H])C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N1)c3 |r|,Ki,nM,27
50538255,[H][C@@]12CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@]1([H])CCCN1C(=O)[C@]1([H])CSCc3cc(CSC[C@H](NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@@H](NC2=O)C(C)C)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@]([H])([C@@H](C)CC)C(=O)N2CCC[C@@]2([H])C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCSC)C(=O)N1)c3 |r|,Ki,nM,83
50538256,[H][C@]12CSCc3cc(CSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC1=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1c[nH]c4ccccc14)C(=O)N[C@@H](CC(C)C)C(=O)N2)c3 |r|,Ki,nM,56
50538257,[H][C@]12CSCc3cc(CSC[C@H](NC(=O)[C@@]([H])(NC(=O)[C@H](Cc4c[nH]c5ccccc45)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC1=O)[C@@H](C)O)C(=O)N[C@@H](C)C(N)=O)cc(CSC[C@H](NC(=O)[C@H](C)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](Cc1c[nH]c4ccccc14)C(=O)N[C@@H](CC(C)C)C(=O)N2)c3 |r|,Ki,nM,101
