Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
4622,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,IC50,nM,2
12915,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,IC50,nM,356
12915,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,IC50,nM,561
12915,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCOCC1,IC50,nM,858
15234,"[H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)c2occ3c2[C@]1(C)[C@@H](COC)OC3=O |r,c:15|",IC50,nM,1.2
15234,"[H][C@@]12CCC(=O)[C@@]1(C)C[C@@H](OC(C)=O)C1=C2C(=O)c2occ3c2[C@]1(C)[C@@H](COC)OC3=O |r,c:15|",IC50,nM,103
21026,"CCN(CC)C=C1C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]2(C)[C@@H](COC)OC1=O |r,w:5.4,t:12|",IC50,nM,382
21030,"COC[C@H]1OC(=O)C(=CN(C)C(C)(C)C)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:20|",IC50,nM,440
21032,"CCCCN(C)C=C1C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]2(C)[C@@H](COC)OC1=O |r,w:6.5,t:13|",IC50,nM,635
21033,"COC[C@H]1OC(=O)C(=CN2CCCC2)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:20|",IC50,nM,496
21034,"COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C2CC[C@H](O)[C@@]2(C)C[C@H]1OC(C)=O)C3=O |r,t:16|",IC50,nM,2.7
21035,"COC[C@H]1OC(=O)C(=CN(CC=C)CC=C)C2C(=O)C(=O)C3=C([C@@H](C[C@@]4(C)C3CCC4=O)OC(C)=O)[C@@]12C |r,w:8.8,t:21|",IC50,nM,88
21036,"COC[C@H]1OC(=O)C(=CN(C)CCCN(C)C)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:22|",IC50,nM,6.4
21038,"COC[C@H]1OC(=O)C(=CN(C)CCCN(C)C)C2C(=O)C(=O)C3=C([C@H](O)C[C@]4(C)[C@@H](O)CCC34)[C@@]12C |r,w:8.8,t:22|",IC50,nM,638
21039,"COC[C@H]1OC(=O)C(=CN(CCN(C)C)C(C)(C)C)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:24|",IC50,nM,9.6
21040,"COC[C@H]1OC(=O)C(=CN(CCN(C)C)Cc2ccccc2)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:28|",IC50,nM,66
21041,"COC[C@H]1OC(=O)C(=CN(C)CCN(C)C)C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]12C |r,w:8.8,t:21|",IC50,nM,8.4
21042,"CCN(CCN(C)C)C=C1C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]2(C)[C@@H](COC)OC1=O |r,w:8.7,t:15|",IC50,nM,5
21043,"CCN(CCCN(C)C)C=C1C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]2(C)[C@@H](COC)OC1=O |r,w:9.8,t:16|",IC50,nM,12
21044,"CCN(CC)CCN(C)C=C1C2C(=O)C(=O)C3=C([C@@H](C[C@]4(C)[C@@H](O)CCC34)OC(C)=O)[C@@]2(C)[C@@H](COC)OC1=O |r,w:9.8,t:16|",IC50,nM,50
