Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
522196,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1ncccn1,IC50,nM,140
522196,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1ncccn1,IC50,nM,41.7
522197,CC(Nc1cc(=O)n(C)c2ccc(Nc3cc(nc(Cl)c3C#N)C(O)=O)cc12)C1CC1,IC50,nM,141
522199,Cn1c2ccc(Nc3cc(nc(Cl)c3C#N)C(O)=O)cc2c(NC2CC2)cc1=O,IC50,nM,282
522200,CC(Nc1cc(=O)n(CCN2C(=O)CCC2=O)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1ncccn1,IC50,nM,186
522201,Cn1c2ccc(Nc3cc(nc(Cl)c3C#N)C(O)=O)cc2c(NC2(C)CC2)cc1=O,IC50,nM,417
522202,CC(Nc1cc(=O)n(CC2CCOCC2)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1ncccn1,IC50,nM,263
522203,Cn1c2ccc(Nc3cc(nc(Cl)c3C#N)C(O)=O)cc2c(NC2(C)CCCC2)cc1=O,IC50,nM,224
522204,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1nc[nH]n1,IC50,nM,316
522205,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)C(=O)NCc1cnn(C)c1,IC50,nM,89.1
522206,"Cn1c2ccc(Nc3ccnc(Cl)c3C#N)cc2c(N[C@H]2C[C@H](O)C2)cc1=O |r,wU:22.24,wD:20.21,(5.33,-4.62,;5.33,-3.08,;4,-2.31,;2.67,-3.08,;1.33,-2.31,;1.33,-.77,;;-1.33,-.77,;-2.67,,;-4,-.77,;-4,-2.31,;-2.67,-3.08,;-2.67,-4.62,;-1.33,-2.31,;,-3.08,;1.33,-3.85,;2.67,,;4,-.77,;5.33,,;5.33,1.54,;6.67,2.31,;8.16,1.91,;8.55,3.4,;9.89,4.17,;7.07,3.8,;6.67,-.77,;6.67,-2.31,;8,-3.08,)|",IC50,nM,427
522207,C[C@@H](Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)C(=O)NCCO,IC50,nM,186
522208,Cn1c2ccc(Nc3ccnc(Cl)c3C#N)cc2c(N[C@H]2CCOC2)cc1=O,IC50,nM,741
522209,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1nc(C)n[nH]1,IC50,nM,224
522210,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1noc(C)n1,IC50,nM,398
522211,C[C@@H](Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)C(=O)NC1CCCC1,IC50,nM,240
522212,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1nccc(C)n1,IC50,nM,490
522213,COCCNC(=O)[C@@H](C)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,257
522214,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1cnccn1,IC50,nM,513
522215,C[C@@H](Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)C(=O)NCCC#C,IC50,nM,195
522216,CC(CCO)Nc1nc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,646
522217,C[C@@H](CO)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,372
522218,CC(CO)Nc1nc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,661
522219,CCNC(=O)C(C)(C)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,389
522220,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1cc(C)on1,IC50,nM,708
522221,"COC1CCC(CC1)NC(=O)[C@@H](C)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12 |wD:11.12,(1.33,11.55,;2.67,10.78,;2.67,9.24,;1.33,8.47,;1.33,6.93,;2.67,6.16,;4,6.93,;4,8.47,;2.67,4.62,;4,3.85,;5.33,4.62,;4,2.31,;2.67,1.54,;5.33,1.54,;5.33,,;6.67,-.77,;6.67,-2.31,;8,-3.08,;5.33,-3.08,;5.33,-4.62,;4,-2.31,;2.67,-3.08,;1.33,-2.31,;1.33,-.77,;;-1.33,-.77,;-2.67,,;-4,-.77,;-4,-2.31,;-2.67,-3.08,;-2.67,-4.62,;-1.33,-2.31,;,-3.08,;1.33,-3.85,;2.67,,;4,-.77,)|",IC50,nM,380
522222,CC(CO)Nc1nc(=O)[nH]c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,447
522223,C[C@H](CO)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,724
522224,CNC(=O)[C@@H](C)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12,IC50,nM,708
522225,CCNC(=O)C(C)Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12 |w:5.5|,IC50,nM,676
522226,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1ncco1,IC50,nM,871
522227,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1nnc(C)o1,IC50,nM,692
522227,CC(Nc1cc(=O)n(C)c2ccc(Nc3ccnc(Cl)c3C#N)cc12)c1nnc(C)o1,IC50,nM,870
