Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
16018,O=C1c2ccccc2-c2n[nH]c3cccc1c23,IC50,nM,98
31532,Cn1nc(C(N)=O)c2CCc3cnc(Nc4ccccc4)nc3-c12,IC50,nM,500
36485,COc1cc(ccc1Nc1cc(Nc2ccccc2S(=O)(=O)C(C)C)c2cc[nH]c2n1)N1CCC(O)CC1,IC50,nM,37.5
36486,CCOc1cc(ccc1Nc1ncc2N(C)C(=O)CCN(C3CCCC3)c2n1)N1CCC(O)CC1,IC50,nM,144.5
47183,CCc1cccc(CC)c1NC(=O)c1cn(C)c-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCN(C)CC3)nc-21,IC50,nM,132
103302,O=C(CN1CC[C@@H](C1)C(=O)Nc1ccc2[nH]nc(-c3ccncc3)c2c1)N1CCN(CC1)c1ccc(cc1)-c1ncccn1 |r|,IC50,nM,193
141327,CCc1cccc(CC)c1NC(=O)c1nn(CC(F)(F)F)c-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCN(C)CC3)nc-21,IC50,nM,862
141328,COc1cc(Br)ccc1Nc1ncc2CCCc3c(nn(C)c3-c2n1)C(N)=O,IC50,nM,421
141329,CNC(=O)c1nn(C)c-2c1CCCc1cnc(Nc3ccc(Br)cc3OC)nc-21,IC50,nM,277
141330,COc1cc(ccc1Nc1ncc2CCCc3c(nn(C)c3-c2n1)C(N)=O)N1CCN(C)CC1,IC50,nM,194
141331,CCc1cccc(CC)c1NC(=O)c1nn(C)c-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCN(C)CC3)nc-21,IC50,nM,184
141332,COc1cc(ccc1Nc1ncc2CCCc3c(nn(C)c3-c2n1)C(=O)Nc1ccccc1)N1CCN(C)CC1,IC50,nM,353
141333,CCc1cccc(C)c1NC(=O)c1nn(C)c-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCN(C)CC3)nc-21,IC50,nM,189
141334,COc1cc(ccc1Nc1ncc2CCCc3c(nn(C)c3-c2n1)C(=O)NC1CCCCC1)N1CCN(C)CC1,IC50,nM,249
141335,CCc1cccc(CC)c1NC(=O)c1c2CCCc3cnc(Nc4ccc(cc4OC)N4CCN(C)CC4)nc3-c2nn1C,IC50,nM,853
141336,CCc1cccc(CC)c1NC(=O)c1noc-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCN(C)CC3)nc-21,IC50,nM,134
141337,CCc1cccc(CC)c1NC(=O)c1onc-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCN(C)CC3)nc-21,IC50,nM,308
141338,CCc1cccc(CC)c1NC(=O)c1nn(C)c-2c1CCCc1cnc(Nc3ccc(cc3OC)C(=O)NC3CCN(C)CC3)nc-21,IC50,nM,66
141339,CCc1cccc(CC)c1NC(=O)c1nn(C)c-2c1CCCc1cnc(Nc3ccc(cc3OC(F)(F)F)C(=O)N3CCCN(C)CC3)nc-21,IC50,nM,199
141340,CCc1cccc(CC)c1NC(=O)c1nn(CCO)c-2c1CCCc1cnc(Nc3ccc(cc3OC)N3CCC(CC3)N(C)C)nc-21,IC50,nM,174
141341,COc1cc(ccc1Nc1ncc2CCCc3c(nn(C)c3-c2n1)C(=O)N[C@H](CN)c1ccccc1)C(=O)NC1CCN(C)CC1 |r|,IC50,nM,469
149684,CCc1cccc(CC)c1NC(=O)c1c(C)n(C)c-2c1CCc1cnc(Nc3ccc(cc3OC)N3CCC(CC3)N3CCCC3)nc-21,IC50,nM,99
149685,COc1cc(ccc1Nc1ncc2CCc3c(C(N)=O)c(C)n(C)c3-c2n1)N1CCN(C)CC1,IC50,nM,23
149686,CSc1ncc2CCc3c(cn(C(C)C)c3-c2n1)C(N)=O,IC50,nM,382
149689,CSc1ncc2ccc3c(C(N)=O)c(C)n(C(C)C)c3c2n1,IC50,nM,622
149692,"CSc1ncc2ccc3c(cn([C@@H]4CC[C@H](N)CC4)c3c2n1)C(N)=O |wU:15.15,12.11,(6.59,1.87,;5.05,1.92,;4.24,.61,;4.97,-.75,;4.16,-2.06,;2.62,-2.01,;1.81,-3.32,;.27,-3.27,;-.46,-1.92,;-1.96,-1.55,;-2.07,-.01,;-.64,.57,;-.28,2.07,;1.2,2.49,;1.57,3.99,;.46,5.06,;.82,6.55,;-1.02,4.63,;-1.39,3.13,;.35,-.61,;1.89,-.65,;2.7,.65,;-3.13,-2.54,;-2.86,-4.06,;-4.58,-2.02,)|",IC50,nM,855
149694,CSc1ncc2ccc3c(c[nH]c3c2n1)C(N)=O,IC50,nM,814
