Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
50006215,Nc1ncnc2n(cnc12)[C@@H]1C=C[C@@H](O)[C@H]1O |c:13|,Ki,nM,41.0
50006217,CC[C@H]1C[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,Ki,nM,586.0
50006218,Nc1ncnc2n(cnc12)[C@@H]1CC[C@@H](O)[C@H]1O,Ki,nM,12.0
50006220,Nc1ncnc2n(cnc12)[C@@H]1C[C@H](C=C)[C@@H](O)[C@H]1O,Ki,nM,22.0
50006221,C[C@H]1C[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12,Ki,nM,27.0
50006222,"Nc1ncnc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O |r,t:13|",Ki,nM,3.8
50011148,Nc1ncnc2n(C\C=C/CO)cnc12,Ki,nM,125.0
50011180,Nc1ncnc2n(C\C=C\CO)cnc12,Ki,nM,330.0
50018205,Nc1ncnc2n(cnc12)[C@@H]1C=C(CO)C(=O)[C@H]1O |t:13|,Ki,nM,800.0
50023877,Nc1nccc2n(C\C=C/CO)cnc12,Ki,nM,200.0
50023879,[#7]-c1ncnc2n(-[#6]\[#6]=[#6](/[#6]-[#8])-[#6]-[#8])cnc12,Ki,nM,110.0
50023882,Nc1ncnc2n(C\C=C/[C@@H](O)CO)cnc12,Ki,nM,200.0
50023884,C\C(CO)=C/Cn1cnc2c(N)ncnc12,Ki,nM,500.0
50023885,Nc1nccc2n(CC#CCO)cnc12,Ki,nM,160.0
50023886,[#7]-c1nccc2n(-[#6]\[#6]=[#6](/[#6]-[#8])-[#6]-[#8])cnc12,Ki,nM,166.0
50023887,C\C(CO)=C\Cn1cnc2c(N)ncnc12,Ki,nM,170.0
50023889,Nc1nccc2n(C\C=C/[C@@H](O)CO)cnc12,Ki,nM,90.0
50029130,Nc1ncnc2n(cnc12)[C@H](O[C@H](CO)C=O)C=O,Ki,nM,3.3
50050862,Cl.CNCCNC(=O)CN(CC(=O)N(C)N1Cc2ccccc2C1)c1cc(Cl)ccc1Oc1ccc(Cl)cc1,Ki,nM,1.5
