Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
170680,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c2cccc(F)c2)c2ccccc12 |r|,IC50,nM,700
170681,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,75
170682,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c2cccc(Br)c2)c2ccccc12 |r|,IC50,nM,55
170684,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,20
170685,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNS(=O)(=O)c2ccc(Cl)s2)c2ccccc12 |r|,IC50,nM,60
170686,NC(=O)n1cc(NC(=O)N2CCC[C@H]2CNS(=O)(=O)c2cccc(Cl)c2)c2ccccc12 |r|,IC50,nM,550
170688,NC(=O)n1cc(NC(=O)N2C[C@H](F)C[C@H]2CNC(=O)Oc2ccccc2)c2ccccc12 |r|,IC50,nM,500
170695,NC(C(=O)N1C[C@H](F)C[C@H]1C(=O)Nc1cccc(OC(F)(F)F)c1)c1cc(C(N)=O)n2ccccc12 |r|,IC50,nM,150
170699,C[C@@H]1CCN([C@@H]1C(=O)NCc1cccc(Cl)c1F)C(=O)Nc1cn(C(N)=O)c2ccccc12 |r|,IC50,nM,100
170701,CC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)N[C@H](CO)c2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,4
170702,CNC(=O)n1cc(NC(=O)N2[C@@H]3C[C@@H]3C[C@H]2C(=O)NCc2cccc(Cl)c2F)c2ccccc12 |r|,IC50,nM,54
170704,COCCOc1ccc2n(cc(NC(=O)N3C[C@](C)(F)C[C@H]3C(=O)NCc3cccc(Cl)c3F)c2c1)C(N)=O |r|,IC50,nM,18
