Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
1774,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@H]1CCCN(C1)C(=O)C=C,IC50,nM,280
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,0.757
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,27
3428,"CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl |(4.56,-3.94,;3.23,-3.17,;1.89,-3.94,;3.23,-4.71,;3.23,-1.63,;1.89,-.86,;.56,-1.63,;1.89,.68,;.56,1.45,;-.77,.68,;-2.11,1.45,;-3.44,.68,;-4.78,1.45,;-6.11,.68,;-4.78,2.99,;-3.44,3.76,;-2.11,2.99,;-.77,3.76,;.56,2.99,;1.89,3.76,;1.89,5.3,;.56,6.07,;3.23,6.07,;4.56,5.3,;4.56,3.76,;3.23,2.99,;3.23,1.45,)|",IC50,nM,130
6190,CCN(CC)CCCCNc1ncc2cc(c(NC(=O)NC(C)(C)C)nc2n1)-c1cc(OC)cc(OC)c1,IC50,nM,5.0
6416,OCCCNc1cncc(c1)-c1cncc(Nc2cccc(Cl)c2)n1,IC50,nM,210
6419,Clc1cccc(Nc2cncc(n2)-c2cncc(NCCCc3cccnc3)c2)c1,IC50,nM,293
6420,Clc1cccc(Nc2cncc(n2)-c2cncc(NCCCn3cccn3)c2)c1,IC50,nM,326
6421,Clc1cccc(Nc2cncc(n2)-c2cncc(NCCCn3cncn3)c2)c1,IC50,nM,153
6866,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F,IC50,nM,220
6867,Cc1ccc(F)c(C(=O)n2nc(Nc3ccc(cc3)S(N)(=O)=O)nc2N)c1F,IC50,nM,270
6870,Cc1ccsc1C(=O)n1nc(Nc2ccc(cc2)S(N)(=O)=O)nc1N,IC50,nM,180
13535,COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1,IC50,nM,170
25115,NC(=O)c1c(NC(=O)NCCCCN2CCCC2)snc1OCc1c(F)cc(Br)cc1F,IC50,nM,3.08
26198,CC(C)(C)c1nc2c([nH]1)c1ccc(F)cc1c1c2cc[nH]c1=O,IC50,nM,940.0
26474,CN(c1ccc2c(C)n(C)nc2c1)c1ccnc(Nc2ccc(C)c(c2)S(N)(=O)=O)n1,IC50,nM,140
100953,"COc1cc(OC)c(Cl)c(c1Cl)-c1cc2cnc(N[C@H]3COC[C@H]3NC(=O)C=C)nc2n(C)c1=O |r,wD:19.19,23.25,(9.29,-1.34,;9.29,.2,;7.95,.97,;7.95,2.51,;6.62,3.28,;6.62,4.82,;5.29,5.59,;5.29,2.51,;3.95,3.28,;5.29,.97,;6.62,.2,;6.62,-1.34,;3.95,.2,;2.62,.97,;1.28,.2,;-.05,.97,;-1.38,.2,;-1.38,-1.34,;-2.72,-2.11,;-4.05,-1.34,;-4.05,.2,;-5.51,.67,;-6.42,-.57,;-5.51,-1.82,;-5.91,-3.3,;-7.4,-3.7,;-8.49,-2.61,;-7.8,-5.19,;-9.29,-5.59,;-.05,-2.11,;1.28,-1.34,;2.62,-2.11,;2.62,-3.65,;3.95,-1.34,;5.29,-2.11,)|",IC50,nM,776
100954,"COc1cc(OC)c(Cl)c(c1Cl)-c1cc2cnc(N[C@@H]3COC[C@@H]3NC(=O)C=C)nc2n(C)c1=O |r,wU:19.19,23.25,(9.29,-1.34,;9.29,.2,;7.95,.97,;7.95,2.51,;6.62,3.28,;6.62,4.82,;5.29,5.59,;5.29,2.51,;3.95,3.28,;5.29,.97,;6.62,.2,;6.62,-1.34,;3.95,.2,;2.62,.97,;1.28,.2,;-.05,.97,;-1.38,.2,;-1.38,-1.34,;-2.72,-2.11,;-4.05,-1.34,;-4.05,.2,;-5.51,.67,;-6.42,-.57,;-5.51,-1.82,;-5.91,-3.3,;-7.4,-3.7,;-8.49,-2.61,;-7.8,-5.19,;-9.29,-5.59,;-.05,-2.11,;1.28,-1.34,;2.62,-2.11,;2.62,-3.65,;3.95,-1.34,;5.29,-2.11,)|",IC50,nM,505
130798,"Cc1nc2cc(ccc2[nH]1)-n1ncc(C(=O)C2=CC3C=CC=CC3N2)c1N |c:21,23,t:18|",IC50,nM,23
130799,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(CN4CCC(O)CC4)cc3[nH]2)c1N,IC50,nM,5.5
130800,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(CN4CCNCC4)cc3[nH]2)c1N,IC50,nM,5.6
130801,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(OCCN4CCOCC4)cc3[nH]2)c1N,IC50,nM,3.2
130802,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(OC4CCOCC4)cc3[nH]2)c1N,IC50,nM,4.3
130803,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3cc(F)c(Br)cc3[nH]2)c1N,IC50,nM,8.5
130804,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(cc3[nH]2)-c2ccc(F)cc2)c1N,IC50,nM,31
130805,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(cc3[nH]2)-c2cccc(c2)C(F)(F)F)c1N,IC50,nM,64
130806,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3cc(ccc3[nH]2)C(=O)N2CCCC(F)(F)C2)c1N,IC50,nM,5.4
130807,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3cc(ccc3[nH]2)C(=O)NCC(F)(F)F)c1N,IC50,nM,21
130808,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(cc3[nH]2)-c2ccc(cn2)C(F)(F)F)c1N,IC50,nM,19
130809,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(CO)cc3[nH]2)c1N,IC50,nM,23
130810,CN1CCN(CCOc2ccc3cc([nH]c3c2)C(=O)c2cnn(c2N)-c2ccc3nc(C)nc3c2)CC1,IC50,nM,15
130811,Cc1nc2ccc(cc2n1)-n1ncc(C(=O)c2cc3ccc(OCC4(C)COC4)cc3[nH]2)c1N,IC50,nM,12
