Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
6568,"CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1 |(-12.18,1.86,;-10.84,1.09,;-9.51,1.86,;-9.51,3.4,;-8.18,4.17,;-6.84,3.4,;-6.84,1.86,;-5.51,1.08,;-4.18,1.85,;-4.18,3.39,;-2.84,4.16,;-1.51,3.4,;-.18,4.17,;1.16,3.4,;2.49,4.17,;2.49,5.71,;1.16,6.48,;3.83,6.48,;5.16,5.71,;5.16,4.17,;3.83,3.39,;3.83,1.85,;1.16,1.86,;2.49,1.09,;-.18,1.09,;-.18,-.45,;-1.51,1.86,;-2.84,1.08,;-8.18,1.08,)|",Ki,nM,0.2
13530,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,Ki,nM,13
13530,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1,Ki,nM,14
13534,CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,Ki,nM,30
81734,COc1ccccc1-c1c[nH]c2ncc(cc12)-c1cncc(c1)C(=O)N(C)C,Ki,nM,20
86856,[O-][N+](=O)c1ccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1,Ki,nM,92
86857,[O-][N+](=O)c1ccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)cc1,Ki,nM,83
86858,Fc1cccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)c1,Ki,nM,272
86859,Clc1ccc(cc1)C(=O)Nc1nnc(SCc2ccc(Br)cc2)s1,Ki,nM,47
86860,Fc1ccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1,Ki,nM,104
86861,Fc1ccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)cc1,Ki,nM,406
86862,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2cccc(Cl)c2)s1,Ki,nM,369
86863,Fc1cccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)c1,Ki,nM,217
86864,COc1ccc(CSc2nnc(NC(=O)c3ccc(Cl)cc3)s2)cc1,Ki,nM,189
86866,Clc1cccc(CSc2nnc(NC(=O)c3ccccc3Cl)s2)c1,Ki,nM,760
86867,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2cccc(F)c2)s1,Ki,nM,167
86868,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2ccc(Br)cc2)s1,Ki,nM,89
86869,Clc1ccccc1C(=O)Nc1nnc(SCc2ccccc2)s1,Ki,nM,920
86870,[O-][N+](=O)c1ccc(CSc2nnc(NC(=O)c3ccc(F)cc3)s2)cc1,Ki,nM,210
86871,Clc1ccc(cc1)C(=O)Nc1nnc(SCc2ccccc2)s1,Ki,nM,400
86872,COc1ccc(CSc2nnc(NC(=O)c3ccc(F)cc3)s2)cc1,Ki,nM,195
86873,Clc1ccccc1C(=O)Nc1nnc(SCc2ccc(Br)cc2)s1,Ki,nM,225
86874,Clc1ccc(cc1)C(=O)Nc1nnc(SCc2cccc(Cl)c2)s1,Ki,nM,73
86875,Fc1ccc(cc1)C(=O)Nc1nnc(SCc2ccccc2)s1,Ki,nM,70
112003,O=C(Nc1cc2ccc(cc2cn1)N1CCCCC1)C1CC1,Ki,nM,6
112004,Clc1ccccc1-c1ccc2cc(Nc3ncccn3)ncc2c1,Ki,nM,139
112005,Clc1ccccc1-c1ccc2cc(Nc3ccccn3)ncc2c1,Ki,nM,7
112006,CSCNc1cc2ccc(cc2cn1)-c1cc(F)ccc1Cl,Ki,nM,72
112007,CNc1cc2ccc(cc2cn1)-c1cc(F)ccc1Cl,Ki,nM,416
112008,COc1ccc(Cl)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,Ki,nM,2
112009,Cc1ccc(F)cc1-c1ccc2cc(N)ncc2c1,Ki,nM,440
112010,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CCC3)ncc2c1,Ki,nM,1
112011,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CCCC3)ncc2c1,Ki,nM,12
112012,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CCCCC3)ncc2c1,Ki,nM,39
