Monomer_ID,SMILES,Affinity_Type,Affinity_Unit,Affinity_Value
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,27
2579,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13 |r|,IC50,nM,77.9
3428,"CC(C)(C)NC(=O)Nc1nc2nc(N)ncc2cc1-c1c(Cl)cccc1Cl |(4.56,-3.94,;3.23,-3.17,;1.89,-3.94,;3.23,-4.71,;3.23,-1.63,;1.89,-.86,;.56,-1.63,;1.89,.68,;.56,1.45,;-.77,.68,;-2.11,1.45,;-3.44,.68,;-4.78,1.45,;-6.11,.68,;-4.78,2.99,;-3.44,3.76,;-2.11,2.99,;-.77,3.76,;.56,2.99,;1.89,3.76,;1.89,5.3,;.56,6.07,;3.23,6.07,;4.56,5.3,;4.56,3.76,;3.23,2.99,;3.23,1.45,)|",IC50,nM,560
13535,COc1cc2c(ncnc2cc1OCCCN1CCCCC1)N1CCN(CC1)C(=O)Nc1ccc(OC(C)C)cc1,IC50,nM,170
25115,NC(=O)c1c(NC(=O)NCCCCN2CCCC2)snc1OCc1c(F)cc(Br)cc1F,IC50,nM,500
88559,CCC(=O)Nc1cccc(CN2C(=O)N(Cc3cnc(Nc4ccccc4NC(=O)C=C)nc23)c2c(Cl)c(OC)cc(OC)c2Cl)c1 |$;;;;HN;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;$|,IC50,nM,<100.0
88560,COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccccc4NC(=O)C=C)nc3N(C)C2=O)c1Cl |$;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;$|,IC50,nM,<100.0
88561,COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccccc4NC(=O)C=C)nc3N(Cc3ccccc3)C2=O)c1Cl |$;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;$|,IC50,nM,<100.0
88563,COc1cc(OC)cc(c1)N1Cc2cnc(Nc3ccccc3NC(=O)C=C)nc2N(C)C1=O |$;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;$|,IC50,nM,<100.0
88564,COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccc(cc4NC(=O)C=C)C(F)(F)F)nc3N(Cc3ccccc3)C2=O)c1Cl |$;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;$|,IC50,nM,750
88565,CCC(=O)Nc1cccc(CN2C(=O)N(Cc3cnc(NC4CCCCC4NC(=O)C=C)nc23)c2c(Cl)c(OC)cc(OC)c2Cl)c1 |$;;;;HN;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;$|,IC50,nM,<100.0
88566,CCC(=O)Nc1cccc(CN2C(=O)N(Cc3cnc(NC4CCCCC4NC(=O)C=C)nc23)c2c(Cl)c(OC)cc(OC)c2Cl)c1 |$;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$|,IC50,nM,<100
88567,CCC(=O)Nc1cccc(CN2C(=O)N(Cc3cnc(Nc4ccc(cc4NC(=O)C=C)N4CCN(CCOC)CC4)nc23)c2cc(OC)cc(OC)c2)c1 |$;;;;HN;;;;;;;;;;;;;;;;;;;;;;;HN;;;;;;;;;;;;;;;;;;;;;;;;;;;$|,IC50,nM,<100.0
